sex,length,diameter,height,wholeWeight,shuckedWeight,visceraWeight,shellWeight,age
I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
M,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,9
I,0.5,0.375,0.14,0.5495,0.248,0.112,0.1585,7
F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
I,0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
M,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,11
M,0.66,0.52,0.19,1.558,0.755,0.298,0.4,10
I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
M,0.64,0.53,0.165,1.1895,0.4765,0.3,0.35,11
F,0.72,0.575,0.195,2.1505,1.0745,0.382,0.585,10
I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7
M,0.635,0.515,0.16,1.2075,0.5385,0.282,0.345,11
M,0.485,0.4,0.135,0.663,0.313,0.137,0.2,10
I,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,8
F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12
F,0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8
M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6
F,0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7
M,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
F,0.625,0.485,0.16,1.254,0.591,0.259,0.3485,9
M,0.545,0.44,0.12,0.8565,0.3475,0.1715,0.24,12
I,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3
I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9
I,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8
F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9
I,0.49,0.365,0.125,0.5585,0.252,0.126,0.1615,10
M,0.515,0.39,0.155,0.7125,0.3695,0.137,0.155,7
I,0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,10
I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6
M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10
M,0.35,0.255,0.065,0.179,0.0705,0.0385,0.06,10
M,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15
F,0.51,0.37,0.21,1.183,0.508,0.292,0.343,9
F,0.57,0.465,0.18,0.9995,0.405,0.277,0.295,16
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8
I,0.435,0.325,0.12,0.3995,0.1815,0.061,0.1125,8
M,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10
F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,19
M,0.34,0.255,0.095,0.213,0.081,0.034,0.07,9
I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,7
F,0.625,0.5,0.165,1.288,0.573,0.3035,0.315,9
F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
F,0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
I,0.55,0.42,0.13,0.636,0.294,0.144,0.1755,8
F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23
I,0.425,0.34,0.105,0.389,0.2015,0.0905,0.088,6
M,0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,12
I,0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10
M,0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11
F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9
I,0.54,0.415,0.11,0.619,0.2755,0.15,0.1765,10
M,0.525,0.41,0.13,0.6875,0.3435,0.1495,0.1765,9
M,0.655,0.515,0.16,1.31,0.553,0.369,0.345,11
M,0.525,0.425,0.12,0.702,0.3335,0.1465,0.22,12
F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
M,0.565,0.44,0.155,0.868,0.348,0.217,0.26,11
F,0.37,0.29,0.115,0.25,0.111,0.057,0.075,9
M,0.325,0.23,0.09,0.147,0.06,0.034,0.045,4
I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
F,0.485,0.4,0.155,0.731,0.236,0.183,0.255,11
F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7
M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7
F,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10
M,0.63,0.48,0.145,1.0115,0.4235,0.237,0.305,12
F,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10
F,0.75,0.565,0.215,1.938,0.7735,0.4825,0.575,11
M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11
F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19
I,0.455,0.355,0.105,0.372,0.138,0.0765,0.135,9
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10
I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,8
F,0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12
M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19
M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9
M,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13
I,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8
M,0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
I,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,18
M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12
F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10
M,0.585,0.465,0.19,1.171,0.3905,0.2355,0.4,17
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12
F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,18
M,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16
M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
M,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9
I,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
M,0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,10
I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
I,0.395,0.29,0.095,0.319,0.138,0.08,0.082,7
I,0.485,0.415,0.14,0.5705,0.25,0.134,0.185,8
I,0.375,0.3,0.075,0.144,0.059,0.03,0.044,7
I,0.41,0.31,0.09,0.339,0.155,0.0695,0.09,7
M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,8
M,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
M,0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
I,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8
M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15
M,0.605,0.455,0.16,1.1215,0.533,0.273,0.271,10
F,0.645,0.51,0.19,1.363,0.573,0.362,0.36,10
F,0.635,0.5,0.18,1.2565,0.539,0.292,0.35,10
I,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9
F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10
M,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
M,0.605,0.47,0.18,1.1405,0.3755,0.2805,0.385,15
I,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7
F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
M,0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10
I,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.186,11
M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14
F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
I,0.455,0.35,0.13,0.4725,0.215,0.0745,0.15,9
M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13
I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425,16
F,0.665,0.54,0.195,1.764,0.8505,0.3615,0.47,11
M,0.27,0.195,0.07,0.106,0.0465,0.018,0.036,7
F,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11
M,0.63,0.49,0.16,1.09,0.407,0.224,0.354,12
I,0.42,0.315,0.1,0.3435,0.157,0.0795,0.09,6
F,0.78,0.63,0.215,2.657,1.488,0.4985,0.586,11
I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9
I,0.52,0.41,0.14,0.5995,0.242,0.1375,0.182,11
I,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,8
I,0.385,0.305,0.095,0.252,0.0915,0.055,0.09,14
F,0.615,0.465,0.15,0.923,0.4615,0.1825,0.2415,9
F,0.64,0.505,0.165,1.2235,0.5215,0.2695,0.36,10
M,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10
F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11
F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155,10
F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20
F,0.63,0.48,0.175,1.3675,0.5015,0.3035,0.515,17
M,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11
I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8
F,0.625,0.475,0.175,1.1435,0.4755,0.2475,0.349,10
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17
M,0.55,0.435,0.11,0.806,0.3415,0.203,0.215,9
F,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
I,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,8
F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11
M,0.59,0.49,0.165,1.207,0.559,0.235,0.309,10
I,0.465,0.37,0.11,0.445,0.1635,0.096,0.166,7
F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11
I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6
I,0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
M,0.44,0.375,0.13,0.487,0.226,0.0965,0.155,9
F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15
M,0.61,0.475,0.15,1.142,0.62,0.237,0.245,9
I,0.47,0.35,0.125,0.4315,0.19,0.1165,0.1175,6
I,0.56,0.43,0.13,0.728,0.3355,0.1435,0.2175,8
F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51,17
F,0.55,0.465,0.15,1.082,0.3575,0.194,0.19,14
F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
M,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13
F,0.45,0.36,0.125,0.5065,0.222,0.105,0.16,10
I,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
I,0.5,0.375,0.12,0.542,0.215,0.116,0.17,9
F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11
I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6
F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17
M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10
I,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765,6
I,0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8
F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9
M,0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6
M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8
M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21
I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21
F,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098,12
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7
I,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18
I,0.465,0.365,0.115,0.467,0.2315,0.0925,0.113,7
M,0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6
I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
I,0.57,0.445,0.145,0.7405,0.306,0.172,0.1825,12
I,0.455,0.34,0.115,0.486,0.261,0.0655,0.1315,8
M,0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
M,0.65,0.5,0.14,1.238,0.6165,0.2355,0.32,8
I,0.575,0.44,0.15,0.983,0.486,0.215,0.239,8
M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8
M,0.73,0.585,0.225,2.2305,1.2395,0.422,0.563,14
I,0.2,0.155,0.04,0.0435,0.0155,0.009,0.007,4
I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10
I,0.59,0.445,0.135,0.7715,0.328,0.1745,0.23,9
M,0.57,0.455,0.175,1.02,0.4805,0.2145,0.29,9
F,0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10
F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12
F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215,15
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10
M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215,13
M,0.515,0.42,0.14,0.769,0.2505,0.154,0.29,13
I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42,15
F,0.375,0.295,0.11,0.3005,0.1255,0.0575,0.1035,7
M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,10
M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295,10
I,0.405,0.29,0.09,0.2825,0.112,0.075,0.0815,7
M,0.64,0.525,0.18,1.3135,0.4865,0.2995,0.4075,10
M,0.585,0.45,0.175,1.1275,0.4925,0.262,0.335,11
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5
I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7
F,0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,9
M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12
F,0.61,0.475,0.15,1.1135,0.5195,0.2575,0.3005,11
M,0.68,0.52,0.195,1.4535,0.592,0.391,0.4125,10
F,0.6,0.5,0.17,1.13,0.4405,0.267,0.335,11
F,0.515,0.4,0.115,0.578,0.191,0.1445,0.17,9
I,0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,10
F,0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11
M,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11
I,0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6
I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7
I,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6
I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9
I,0.345,0.255,0.095,0.183,0.075,0.0385,0.06,6
M,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11
M,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9
I,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,8
M,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10
M,0.535,0.42,0.125,0.738,0.355,0.1895,0.1795,8
M,0.595,0.46,0.17,1.1295,0.57,0.2555,0.265,10
I,0.555,0.435,0.14,0.765,0.3945,0.15,0.206,8
I,0.375,0.28,0.09,0.215,0.084,0.06,0.055,6
M,0.575,0.45,0.13,0.785,0.318,0.193,0.2265,9
I,0.395,0.3,0.12,0.2995,0.1265,0.068,0.0895,8
M,0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11
I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9
M,0.585,0.48,0.185,1.04,0.434,0.265,0.285,10
I,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8
M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9
I,0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
I,0.495,0.4,0.105,0.602,0.2505,0.1265,0.19,8
F,0.52,0.425,0.15,0.813,0.385,0.2015,0.23,10
F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9
F,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
F,0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9
M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12
I,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,11
F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10
I,0.435,0.335,0.11,0.334,0.1355,0.0775,0.0965,7
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5
M,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11
I,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8
I,0.235,0.18,0.06,0.058,0.022,0.0145,0.018,6
M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18
M,0.635,0.49,0.16,1.101,0.534,0.1865,0.3455,10
I,0.525,0.4,0.14,0.654,0.305,0.16,0.169,7
I,0.3,0.22,0.065,0.1195,0.052,0.0155,0.035,5
M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,6
I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4
I,0.5,0.37,0.115,0.5745,0.306,0.112,0.141,7
I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,7
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13
M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8
I,0.47,0.375,0.105,0.468,0.1665,0.108,0.17,10
M,0.42,0.345,0.105,0.43,0.175,0.096,0.13,7
F,0.62,0.485,0.175,1.2155,0.545,0.253,0.345,10
M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
F,0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10
F,0.57,0.45,0.135,0.7805,0.3345,0.185,0.21,8
I,0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9
I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
M,0.5,0.38,0.135,0.5835,0.2295,0.1265,0.18,12
I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14
F,0.42,0.33,0.125,0.463,0.186,0.11,0.145,10
F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9
M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9
I,0.38,0.29,0.1,0.237,0.108,0.0395,0.082,6
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8
M,0.615,0.475,0.17,1.129,0.4795,0.302,0.3,10
M,0.59,0.49,0.135,1.008,0.422,0.2245,0.285,11
I,0.395,0.295,0.1,0.293,0.14,0.062,0.082,7
F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9
I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7
F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18
M,0.63,0.49,0.155,1.229,0.535,0.29,0.335,11
M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055,11
I,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8
F,0.565,0.45,0.165,0.9765,0.322,0.244,0.37,12
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
F,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11
I,0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
M,0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7
I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6
F,0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,10
M,0.555,0.435,0.14,0.7495,0.341,0.1645,0.214,8
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
I,0.43,0.315,0.115,0.384,0.1885,0.0715,0.11,8
I,0.605,0.47,0.145,0.8025,0.379,0.2265,0.22,9
M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11
